"","lat","lon","num_flr","retrofit","struc_type","occ_day","class"
"1108",27.6928898,85.3358722,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"1109",27.7179075,85.3136973,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",500,"Non-retrofitted URM"
"1110",27.7198396,85.3129359,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",4,"Non-retrofitted URM"
"1111",27.7183758,85.3136013,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",200,"Non-retrofitted URM"
"1112",27.7180677,85.3135769,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",100,"Non-retrofitted URM"
"1113",27.72023,85.3131883,3,"No","Mixed",66,"Non-retrofitted URM"
"1114",27.7181572,85.3135991,4,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",150,"Non-retrofitted URM"
"1115",27.6976341,85.3364315,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",67,"Non-retrofitted URM"
"1116",27.6969138,85.3395969,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",69,"Non-retrofitted URM"
"1117",27.6390654,85.4149595,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",11,"Non-retrofitted URM"
"1118",27.6389131,85.4150307,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",15,"Non-retrofitted URM"
"1119",27.638766,85.4151225,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",45,"Non-retrofitted URM"
"1120",27.6505424,85.4108718,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",40,"Non-retrofitted URM"
"1121",27.6507109,85.4105094,1,"No","Mixed",120,"Non-retrofitted URM"
"1122",27.6505435,85.4107704,1,"No","Mixed",75,"Non-retrofitted URM"
"1123",27.6505753,85.4106047,1,"No","Mixed",120,"Non-retrofitted URM"
"1124",27.6504364,85.4109702,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",83,"Non-retrofitted URM"
"1125",27.6465061,85.406843,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",17,"Non-retrofitted URM"
"1126",27.6522643,85.4180051,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",28,"Non-retrofitted URM"
"1127",27.6625373,85.4082751,1,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",150,"Non-retrofitted URM"
"1128",27.777097,85.361661,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"1129",27.7767043,85.361395,1,"No","Mixed",200,"Non-retrofitted URM"
"1130",27.7786082,85.3613399,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",150,"Non-retrofitted URM"
