@id,building_usage,age,bays_x,bays_y,building_condition,floor_material,floor_material_others,num_floors,neighbour_attachement,overhang,owner_rent,retrofit,roof_material,roof_material_others,roof_slope,roof_slope_others,shape_elevation,shape_plan,soft_storey,structur_type,structure_others,column_size,earthquake_resistant_element,occupants_day,occupants_evening,occupants_morning,occupants_night,facility_number,operator_name,Lat,Lon
221603179,school,1990-2000,1,3,Average,RCC/RBC,,3,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,Yes,Non_Engineered_RC_Frame,,9x9,No,175,0,0,0,2,Prime Secondary English Boarding School,85.267485,27.6870666
221603182,school,After_2000,7,1,Poor,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Mixed,load bearing block wall in cement mortar,,No,130,0,0,0,3,Basic Learning English Secondary School,85.2464857,27.6766532
221603184,school,Before_1960,4,1,Poor,RCC/RBC,,2,Two_Sides_Different_Height,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Stone_Wall_in_Mud_Mortar,,,No,20,0,0,0,1,Bidya Mandir Ma.V.,85.2614943,27.6938736
221603187,school,1960-1990,3,1,Poor,RCC/RBC,,3,One_Side_Different_Height,Yes,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,250,0,0,4,1,Bishnudevi Ma.V.,85.2672416,27.6861612
221603188,school,After_2000,4,1,Average,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,60,0,0,0,4,Sundar Ban School of Science,85.2713428,27.6888863
221603190,school,1960-1990,3,2,Average,RCC/RBC,,3,One_Side_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Stone_Wall_in_Mud_Mortar,,,No,60,0,0,1,1,Sundar Ban School of Science,85.2713093,27.6890828
221603192,school,After_2000,3,1,Average,N/A,,1,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Mixed,wall system with rod support,,No,60,0,0,0,2,Sundar Ban School of Science,85.2712579,27.6889565
221603197,school,1990-2000,2,1,Average,RCC/RBC,,3,One_Side_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,Yes,Non_Engineered_RC_Frame,,9x9,No,48,0,0,4,1,Basic Learning English Secondary School,85.2467609,27.6759451
221603198,school,1990-2000,1,3,Average,RCC/RBC,,3,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,Yes,Non_Engineered_RC_Frame,,9x9,No,175,0,0,2,1,Prime Secondary English Boarding School,85.2673676,27.6870918
221603199,school,After_2000,4,1,Good,RCC/RBC,,2,Two_Sides_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Engineered_RC_Frame,,12x12,N/A,0,0,0,0,3,Prabhat Higher Sec. School,85.2261969,27.6887
221603200,school,1990-2000,4,1,Average,RCC/RBC,,2,Two_Sides_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,60,0,0,0,2,Prabhat Higher Sec. School,85.226133,27.6889276
