#,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T12:41:52', checksum=3502110342"
site_id,lon,lat
192,85.30385,27.73294
193,85.30392,27.73306
194,85.30475,27.73313
195,85.26753,27.71752
196,85.25678,27.71836
197,85.25083,27.72147
198,85.31535,27.72947
199,85.33821,27.74939
200,85.28889,27.71401
201,85.34287,27.74219
202,85.33170,27.74298
203,85.33196,27.74273
204,85.33156,27.74332
205,85.33247,27.74363
206,85.33188,27.74393
207,85.33180,27.74267
208,85.33971,27.74337
209,85.33932,27.74354
210,85.34092,27.74365
211,85.34071,27.74408
212,85.30840,27.72384
213,85.34532,27.74424
214,85.39802,27.69338
215,85.34210,27.70681
216,85.43242,27.67352
217,85.35875,27.72231
218,85.35619,27.71523
219,85.35253,27.76865
220,85.40631,27.69319
221,85.36276,27.73011
222,85.41595,27.73665
223,85.28650,27.68321
224,85.31109,27.60356
225,85.31097,27.60346
226,85.41106,27.61622
227,85.34521,27.71814
228,85.30334,27.75682
229,85.30325,27.75665
230,85.27907,27.67853
231,85.30686,27.70844
232,85.43885,27.67318
233,85.30836,27.67235
234,85.40883,27.68961
235,85.40871,27.68968
236,85.43285,27.67081
237,85.43400,27.67048
238,85.34544,27.67251
239,85.42750,27.67200
240,85.45956,27.70627
241,85.35785,27.71737
242,85.34886,27.74752
243,85.35723,27.72687
244,85.35438,27.74224
245,85.35430,27.74211
246,85.33860,27.69911
247,85.32214,27.64948
248,85.29628,27.65610
249,85.33262,27.70061
250,85.44158,27.67953
251,85.34120,27.70066
252,85.34136,27.70068
253,85.27645,27.70786
254,85.46211,27.72698
255,85.46444,27.73199
256,85.46194,27.72710
257,85.33908,27.70134
258,85.33833,27.70155
259,85.33930,27.70156
260,85.36664,27.72038
261,85.36675,27.72036
262,85.36660,27.72023
263,85.34362,27.70398
264,85.33955,27.70473
265,85.34978,27.71679
266,85.33946,27.69676
267,85.33443,27.72697
268,85.33414,27.72701
269,85.33453,27.72681
270,85.33426,27.72700
271,85.33448,27.72692
272,85.35120,27.71572
273,85.34414,27.69590
274,85.34982,27.71469
275,85.32776,27.72037
276,85.32787,27.72025
277,85.32509,27.71159
278,85.32546,27.71203
279,85.32531,27.71157
280,85.32518,27.71144
281,85.32583,27.70677
282,85.31381,27.70737
283,85.32970,27.73122
284,85.33675,27.73456
285,85.33630,27.73427
286,85.33710,27.72447
287,85.33702,27.72461
288,85.33019,27.74153
289,85.33008,27.73134
290,85.32954,27.73160
291,85.33594,27.73005
292,85.33603,27.73011
293,85.33693,27.72455
294,85.32996,27.73140
295,85.33695,27.72448
296,85.33517,27.72505
297,85.33635,27.73434
298,85.32852,27.73917
299,85.32776,27.73897
300,85.37594,27.68166
301,85.37551,27.68147
302,85.37612,27.68117
303,85.37657,27.68128
304,85.39795,27.71504
305,85.40070,27.71560
306,85.39787,27.71483
307,85.40113,27.71530
308,85.39779,27.71518
309,85.32959,27.70362
310,85.33341,27.70575
311,85.32917,27.70345
312,85.33312,27.70566
313,85.33309,27.70633
314,85.33324,27.70607
315,85.34567,27.73432
316,85.34837,27.73693
317,85.34725,27.73524
318,85.31869,27.69446
319,85.31879,27.69524
320,85.43546,27.69599
321,85.43478,27.69596
322,85.33738,27.71642
323,85.33380,27.71336
324,85.33365,27.71260
325,85.33368,27.71310
326,85.33397,27.71351
327,85.33385,27.71351
328,85.33658,27.71252
329,85.32494,27.71162
330,85.33373,27.71811
331,85.33385,27.71823
332,85.32568,27.71391
333,85.37428,27.68097
334,85.33838,27.72054
335,85.33818,27.72048
336,85.33645,27.70967
337,85.33617,27.70947
338,85.33472,27.70642
339,85.33637,27.70971
340,85.34259,27.71766
341,85.34333,27.71701
342,85.34253,27.71773
343,85.34249,27.71754
344,85.34342,27.71692
345,85.34383,27.71727
346,85.34346,27.71716
347,85.32592,27.74045
348,85.32569,27.74050
349,85.33151,27.74851
350,85.34546,27.74407
351,85.33940,27.74353
352,85.34509,27.74283
353,85.32775,27.73549
354,85.32917,27.73846
355,85.32789,27.73547
356,85.32798,27.73547
357,85.32904,27.73868
358,85.33219,27.73441
359,85.32912,27.73876
360,85.40624,27.69299
361,85.33008,27.72799
362,85.33023,27.72796
363,85.33011,27.72814
364,85.33018,27.72778
365,85.33643,27.72605
366,85.33642,27.72567
367,85.31695,27.73191
368,85.32410,27.73090
369,85.32115,27.72742
370,85.32098,27.72728
371,85.31593,27.73085
372,85.32426,27.73095
373,85.32416,27.73084
374,85.31697,27.73165
375,85.32427,27.73084
376,85.31562,27.73091
377,85.34886,27.73682
378,85.32836,27.72194
379,85.33111,27.72203
380,85.32906,27.72109
381,85.32864,27.72122
382,85.33103,27.72212
383,85.32824,27.72194
384,85.32563,27.72049
385,85.33078,27.70631
386,85.33068,27.70633
387,85.34548,27.71805
388,85.34533,27.71809
389,85.34385,27.71663
390,85.34111,27.71286
391,85.34124,27.71297
392,85.34241,27.71510
393,85.34248,27.71530
394,85.31912,27.73766
395,85.31935,27.73763
396,85.32383,27.74674
397,85.34333,27.71411
398,85.34354,27.71516
399,85.34394,27.71521
400,85.34418,27.71524
401,85.34403,27.71520
402,85.34405,27.71530
403,85.34391,27.71508
404,85.34313,27.71548
405,85.33591,27.70836
406,85.33600,27.70835
407,85.32101,27.74110
408,85.32093,27.74099
409,85.34735,27.73070
410,85.34790,27.73010
411,85.34747,27.73033
412,85.34626,27.72687
413,85.34656,27.72680
414,85.33284,27.70056
415,85.34863,27.73120
416,85.34863,27.72499
417,85.32696,27.73838
418,85.34891,27.72285
419,85.34894,27.72274
420,85.34873,27.72246
421,85.34880,27.72250
422,85.33646,27.71718
423,85.33642,27.71719
424,85.34097,27.73612
