lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
85.3308454,27.7147839,291,465.515101145248,1.81978467264502,0,0
85.337485,27.7165407,291,465.515101145248,1.81978467264502,0,0
85.3307904,27.7144725,291,465.515101145248,1.81978467264502,0,0
85.3032246,27.7016884,305,454.836613412164,1.72454513794061,0,0
85.3302552,27.7067942,274,476.983180512725,1.94951660367277,0,0
85.3303027,27.7072618,274,476.983180512725,1.94951660367277,0,0
85.3300417,27.7072748,274,476.983180512725,1.94951660367277,0,0
85.3302098,27.7071095,274,476.983180512725,1.94951660367277,0,0
85.3355443,27.7087658,274,476.983180512725,1.94951660367277,0,0
85.3341928,27.7131678,291,465.515101145248,1.81978467264502,0,0
85.3568957,27.7264643,345,418.301389951152,1.49778176002697,0,0
85.3287696,27.6879421,299,459.550028877574,1.76419157102278,0,0
85.4374543,27.6781621,248,491.434802024872,2.18504738407354,0,0
85.3097567,27.6855136,399,356.949798742519,1.26823749716274,0,0
85.3298404,27.7313474,353,409.988564931238,1.45901352984779,0,0
85.3267972,27.679351,363,399.173889980275,1.41312442563675,0,0
85.3410743,27.7359164,414,338.212883479962,1.21580854663153,0,0
85.4110061,27.6721924,385,373.907551995323,1.32113289933042,0,0
85.3406081,27.6985034,279,473.779592924582,1.90959985783769,0,0
85.3427288,27.697689,279,473.779592924582,1.90959985783769,0,0
85.330001,27.7416422,430,317.788400733027,1.16419483725697,0,0
85.3299475,27.7414049,430,317.788400733027,1.16419483725697,0,0
85.3405089,27.6937357,250,490.450794774234,2.16506137539656,0,0
85.3388162,27.6964622,279,473.779592924582,1.90959985783769,0,0
85.3400047,27.6933011,250,490.450794774234,2.16506137539656,0,0
85.3392401,27.6963836,279,473.779592924582,1.90959985783769,0,0
85.3414082,27.696431,279,473.779592924582,1.90959985783769,0,0
85.3312411,27.6873179,274,476.983180512725,1.94951660367277,0,0
85.3450933,27.7290349,311,449.918562956675,1.68653631570676,0,0
85.3432567,27.7258239,311,449.918562956675,1.68653631570676,0,0
85.3453456,27.7180146,309,451.580573667965,1.69903013464732,0,0
85.3321955,27.734576,353,409.988564931238,1.45901352984779,0,0
85.3348119,27.694639,340,423.335762853123,1.52300630453384,0,0
85.3355133,27.6946631,340,423.335762853123,1.52300630453384,0,0
85.3358098,27.6939065,340,423.335762853123,1.52300630453384,0,0
85.3342528,27.6945376,340,423.335762853123,1.52300630453384,0,0
85.3307146,27.6963731,291,465.515101145248,1.81978467264502,0,0
