lon,lat,iml
79.75,27.05,0.130639944504
79.75,27.2,0.126408992595
79.75,27.35,0.13722387583
79.75,27.5,0.142582027029
79.75,27.65,0.146831255046
79.75,27.8,0.154970434444
79.75,27.95,0.161908992376
79.75,28.1,0.172915573757
79.75,28.25,0.185126480491
79.75,28.4,0.203492930295
79.75,28.55,0.223137537934
79.75,28.7,0.246848238968
79.75,28.85,0.296844626228
79.75,29,0.375460380505
79.75,29.15,0.508099342065
79.75,29.3,0.526695086075
79.75,29.45,0.637566438859
79.75,29.6,0.551044930689
79.75,29.75,0.5342535083
79.75,29.9,0.512523627881
79.75,30.05,0.487652874052
79.75,30.2,0.433927584852
79.75,30.35,0.30840950669
79.75,30.5,0.237356602214
79.75,30.65,0.207533688873
79.75,30.8,0.181526975033
79.75,30.95,0.151636900524
79.9,26,0.0852657283182
79.9,26.15,0.0942854367363
79.9,26.3,0.103748097382
79.9,26.45,0.118824555603
79.9,26.6,0.118580105177
79.9,26.75,0.126349212
79.9,26.9,0.128496468606
79.9,27.05,0.123825909002
79.9,27.2,0.135738579569
79.9,27.35,0.135880837296
79.9,27.5,0.145615334974
79.9,27.65,0.150264314745
79.9,27.8,0.158033051538
79.9,27.95,0.165127438432
79.9,28.1,0.177020012249
79.9,28.25,0.192768775543
79.9,28.4,0.204776856082
79.9,28.55,0.232311192945
79.9,28.7,0.26515272925
79.9,28.85,0.317265838246
79.9,29,0.426996609617
79.9,29.15,0.62133152245
79.9,29.3,0.538406497746
79.9,29.45,0.54674477155
79.9,29.6,0.534796373708
79.9,29.75,0.52151924304
79.9,29.9,0.502924834547
79.9,30.05,0.47053601133
79.9,30.2,0.39385508619
79.9,30.35,0.273559887688
79.9,30.5,0.22943543779
79.9,30.65,0.188187350388
79.9,30.8,0.166243738389
79.9,30.95,0.146150196697
80.05,26,0.0793947897175
80.05,26.15,0.0973448875614
80.05,26.3,0.115271521612
80.05,26.45,0.118965072152
80.05,26.6,0.122650078717
80.05,26.75,0.126048843438
80.05,26.9,0.122433320031
80.05,27.05,0.125188680777
80.05,27.2,0.135847772738
80.05,27.35,0.14162758889
80.05,27.5,0.146948067488
80.05,27.65,0.15248093155
80.05,27.8,0.158979999329
80.05,27.95,0.170293373561
80.05,28.1,0.180851826513
80.05,28.25,0.195395062367
80.05,28.4,0.21570817788
80.05,28.55,0.241916694447
80.05,28.7,0.270228297523
80.05,28.85,0.333819506623
80.05,29,0.514608042656
80.05,29.15,0.606455483734
80.05,29.3,0.562720013154
80.05,29.45,0.552321669027
80.05,29.6,0.565388218197
80.05,29.75,0.5375812033
80.05,29.9,0.503488144407
80.05,30.05,0.446490519452
80.05,30.2,0.32972172555
80.05,30.35,0.248094213768
80.05,30.5,0.206688089594
80.05,30.65,0.180514828287
80.05,30.8,0.1637651099
80.05,30.95,0.177362526697
80.2,26,0.0902540153862
80.2,26.15,0.10563304985
80.2,26.3,0.115395374429
80.2,26.45,0.121449613373
80.2,26.6,0.12338404442
80.2,26.75,0.127446844717
80.2,26.9,0.126515234622
80.2,27.05,0.130678659461
80.2,27.2,0.140475070478
80.2,27.35,0.138987923178
80.2,27.5,0.144905509329
80.2,27.65,0.155693000874
80.2,27.8,0.160143618197
80.2,27.95,0.16924121167
80.2,28.1,0.178606579751
80.2,28.25,0.197765211095
80.2,28.4,0.218637087675
80.2,28.55,0.250992065866
80.2,28.7,0.288226898783
80.2,28.85,0.363676902391
80.2,29,0.598307382796
80.2,29.15,0.531393512858
80.2,29.3,0.547123201214
80.2,29.45,0.542930269705
80.2,29.6,0.550089007581
80.2,29.75,0.527674223311
80.2,29.9,0.469926647357
80.2,30.05,0.392822469283
80.2,30.2,0.279022402192
80.2,30.35,0.226863826696
80.2,30.5,0.193587346188
80.2,30.65,0.172463042346
80.2,30.8,0.152818053901
80.2,30.95,0.165990023946
80.35,26,0.0894748480243
80.35,26.15,0.105448412174
80.35,26.3,0.117341310476
80.35,26.45,0.116091916102
80.35,26.6,0.127720864757
80.35,26.75,0.130061261853
80.35,26.9,0.134546194575
80.35,27.05,0.133290274834
80.35,27.2,0.142038306924
80.35,27.35,0.147974936154
80.35,27.5,0.1452844807
80.35,27.65,0.16039533701
80.35,27.8,0.167876232638
80.35,27.95,0.172609231973
80.35,28.1,0.192256519448
80.35,28.25,0.204662785886
80.35,28.4,0.229593704715
80.35,28.55,0.262363912497
80.35,28.7,0.305694945581
80.35,28.85,0.408451983365
80.35,29,0.599662837172
80.35,29.15,0.551531694285
80.35,29.3,0.544697419428
80.35,29.45,0.537871275931
80.35,29.6,0.519285544993
80.35,29.75,0.507386720862
80.35,29.9,0.451233282919
80.35,30.05,0.338191370855
80.35,30.2,0.250400379497
80.35,30.35,0.209568696547
80.35,30.5,0.18414013503
80.35,30.65,0.181919610812
80.35,30.8,0.15381146484
80.35,30.95,0.152351442759
80.5,26,0.0843500283684
80.5,26.15,0.104442841136
80.5,26.3,0.113076523735
80.5,26.45,0.117951191798
80.5,26.6,0.128600267936
80.5,26.75,0.130210174055
80.5,26.9,0.136319727664
80.5,27.05,0.134934738341
80.5,27.2,0.145561503522
80.5,27.35,0.141516688306
80.5,27.5,0.156174585095
80.5,27.65,0.160078135759
80.5,27.8,0.16893981113
80.5,27.95,0.178561752677
80.5,28.1,0.18385127836
80.5,28.25,0.207042631267
80.5,28.4,0.239409875539
80.5,28.55,0.270445997644
80.5,28.7,0.324097266383
80.5,28.85,0.468535078638
80.5,29,0.516117331181
80.5,29.15,0.546100248883
80.5,29.3,0.572140820424
80.5,29.45,0.606218604111
80.5,29.6,0.513065854403
80.5,29.75,0.490356766549
80.5,29.9,0.428281937019
80.5,30.05,0.298877303132
80.5,30.2,0.233917313821
80.5,30.35,0.199172151942
80.5,30.5,0.179978420431
80.5,30.65,0.162824342766
80.5,30.8,0.160574827149
