lon lat pga(cm/s/s)
86.7221 26.8167 11.3895
86.7388 26.8167 10.9478
86.7555 26.8167 10.628
86.7722 26.8167 10.3916
86.7889 26.8167 10.1702
86.8056 26.8167 9.8955
86.8223 26.8167 9.531
86.839 26.8167 9.1681
86.8557 26.8167 8.9303
86.8724 26.8167 8.9409
86.8891 26.8167 9.277
86.9058 26.8167 9.8299
86.9225 26.8167 10.4446
86.9392 26.8167 10.9661
86.9559 26.8167 11.2392
86.9726 26.8167 11.1089
86.9893 26.8167 10.4203
84.0 26.8334 6.9509
84.0167 26.8334 6.4231
84.0334 26.8334 6.2134
84.0501 26.8334 6.2633
84.0668 26.8334 6.5144
84.0835 26.8334 6.9082
84.1002 26.8334 7.3861
84.1169 26.8334 7.8898
84.1336 26.8334 8.3608
84.1503 26.8334 8.7528
84.167 26.8334 9.0689
84.1837 26.8334 9.3244
84.2004 26.8334 9.5347
84.2171 26.8334 9.7127
84.2338 26.8334 9.8615
84.2505 26.8334 9.9818
84.2672 26.8334 10.0743
84.2839 26.8334 10.137
84.3006 26.8334 10.1571
84.3173 26.8334 10.119
84.334 26.8334 10.0073
84.3507 26.8334 9.8204
84.3674 26.8334 9.6123
84.3841 26.8334 9.451
84.4008 26.8334 9.4047
84.4175 26.8334 9.5249
84.4342 26.8334 9.7986
84.4509 26.8334 10.1963
84.4676 26.8334 10.6884
84.4843 26.8334 11.2352
84.501 26.8334 11.7558
84.5177 26.8334 12.1591
84.5344 26.8334 12.3537
84.5511 26.8334 12.2812
84.5678 26.8334 12.0129
84.5845 26.8334 11.6531
84.6012 26.8334 11.3056
84.6179 26.8334 11.0615
84.6346 26.8334 10.9588
84.6513 26.8334 11.0224
84.668 26.8334 11.2773
84.6847 26.8334 11.7234
84.7014 26.8334 12.2607
84.7181 26.8334 12.764
84.7348 26.8334 13.1084
84.7515 26.8334 13.2059
84.7682 26.8334 13.1175
84.7849 26.8334 12.9412
84.8016 26.8334 12.7749
84.8183 26.8334 12.7005
84.835 26.8334 12.734
84.8517 26.8334 12.8751
84.8684 26.8334 13.1236
84.8851 26.8334 13.4553
84.9018 26.8334 13.7506
84.9185 26.8334 13.8659
84.9352 26.8334 13.6578
84.9519 26.8334 13.0502
84.9686 26.8334 12.2366
84.9853 26.8334 11.478
85.002 26.8334 11.0355
85.0187 26.8334 11.1031
85.0354 26.8334 11.6064
85.0521 26.8334 12.4044
85.0688 26.8334 13.3557
85.0855 26.8334 14.3397
85.1022 26.8334 15.3173
